"School group","School name","Funder"
"Midsomer Norton Schools Partnership","Farrington Gurney Primary School","OVO Foundation"
"Midsomer Norton Schools Partnership","Hayesfield Girls' School and Mixed Sixth Form","OVO Foundation"
"Midsomer Norton Schools Partnership","Hemington Primary School","Pending data"
"Midsomer Norton Schools Partnership","High Littleton Primary School","OVO Foundation"
"Midsomer Norton Schools Partnership","Knowle DGE Academy","OVO Foundation"
"Midsomer Norton Schools Partnership","Leigh on Mendip School","OVO Foundation"
"Midsomer Norton Schools Partnership","Longvernal Primary School","OVO Foundation"
"Midsomer Norton Schools Partnership","Midsomer Norton Primary School","OVO Foundation"
"Midsomer Norton Schools Partnership","Norton Hill Primary School","OVO Foundation"
"Midsomer Norton Schools Partnership","Norton Hill School","OVO Foundation"
"Midsomer Norton Schools Partnership","Notton House School","OVO Foundation"
"Midsomer Norton Schools Partnership","Park Road Support Centre",
"Midsomer Norton Schools Partnership","Peasedown St John Primary","OVO Foundation"
"Midsomer Norton Schools Partnership","Preston School Academy","OVO Foundation"
"Midsomer Norton Schools Partnership","Shoscombe Church Primary School","OVO Foundation"
"Midsomer Norton Schools Partnership","Somervale School","OVO Foundation"
"Midsomer Norton Schools Partnership","Soundwell Academy","OVO Foundation"
"Midsomer Norton Schools Partnership","St Dunstan's School","OVO Foundation"
"Midsomer Norton Schools Partnership","St John's Primary School, Radstock","OVO Foundation"
"Midsomer Norton Schools Partnership","St Julian's Church School","School self funding"
"Midsomer Norton Schools Partnership","St Marks C of E School","Postcode Local Trust"
"Midsomer Norton Schools Partnership","St Mary's Primary School Timsbury","OVO Foundation"
"Midsomer Norton Schools Partnership","St Matthias Academy","Postcode Local Trust"
"Midsomer Norton Schools Partnership","Trinity Church School","Postcode Local Trust"
"Midsomer Norton Schools Partnership","Welton Primary School","OVO Foundation"
"Midsomer Norton Schools Partnership","Westfield Primary School","OVO Foundation"
"Midsomer Norton Schools Partnership","Writhlington School","OVO Foundation"
"Moray","Anderson's Primary School",
"Moray","Forres Academy",
"Moray","New Elgin Primary School",
"Moray","Pilmuir Primary School",
"Moray","Speyside High School",
"Moray","St Gerardine Primary School",
"Newport/Casnewydd","Alway Primary School","Egni"
"Newport/Casnewydd","Caerleon Comprehensive School","Egni"
"Newport/Casnewydd","Eveswell Primary School","Egni"
"Newport/Casnewydd","Jubilee Park Primary School","Egni"
"Newport/Casnewydd","Llanmartin Primary School","Egni"
"Newport/Casnewydd","Lliswerry High School","Egni"
"Newport/Casnewydd","Lliswerry Primary School","Egni"
"Newport/Casnewydd","Maesglas Primary School","Egni"
"Newport/Casnewydd","Maindee Primary School","Egni"
"Newport/Casnewydd","Malpas Court School","Egni"
"Newport/Casnewydd","Marshfield Primary School","Egni"
"Newport/Casnewydd","Pentrepoeth Primary School","Egni"
"Newport/Casnewydd","Rogerstone Primary School","Egni"
"Newport/Casnewydd","St Julian's High School","Egni"
"Newport/Casnewydd","St Julian's Primary School","Egni"
"Newport/Casnewydd","Ysgol Gyfun Gwent is Coed","Egni"
"Newport/Casnewydd","Ysgol Gymraeg Casnewydd","Egni"
"Norfolk","John Grant School","Drax"
"Norfolk","Sheringham Woodfields School","Drax"
"North Lincolnshire","Baysgarth School","Drax"
"North Lincolnshire","Belton All Saints C of E Primary School",
"North Lincolnshire","Bottesford Junior School",
"North Lincolnshire","Brigg Primary School",
"North Lincolnshire","Burton upon Stather Primary School",
"North Lincolnshire","Castledyke Primary School","Pending data"
"North Lincolnshire","Gunness and Burringham C of E Primary School","Drax"
"North Lincolnshire","Holme Valley Primary School","Pending data"
"North Lincolnshire","Killingholme Primary School","Drax"
"North Lincolnshire","Kirmington St Helena's C of E Primary School","Pending data"
"North Lincolnshire","Kirton Lindsey Primary School",
"North Lincolnshire","Leys Farm Junior School","Drax"
"North Lincolnshire","Oakfield Primary School","Drax"
"North Lincolnshire","Priory Lane Community School","Pending data"
"North Lincolnshire","Sir John Nelthorpe School","Drax"
"North Lincolnshire","South Ferriby Primary School",
"North Lincolnshire","St Barnabas C of E Primary, Barnetby","Pending data"
"North Lincolnshire","St Peter & St Paul CE Primary School","Drax"
"North Lincolnshire","The Grange Primary School, Scunthorpe","Drax"
"North Lincolnshire","Westcliffe Primary School","Drax"
"North Lincolnshire","Wroot Travis Charity C of E Primary School","Pending data"
"North Star Community Trust","Enfield Heights Academy","OVO Foundation"
"North Star Community Trust","Heron Hall Academy","OVO Foundation"
"North Star Community Trust","Kingfisher Hall Primary Academy","OVO Foundation"
"North Star Community Trust","Woodpecker Hall Academy","OVO Foundation"
"Nottingham","Claremont Primary and Nursery School","Pending data"
"Oasis Multi-Academy Trust","Oasis Academy - Arena","OVO Foundation"
"Oasis Multi-Academy Trust","Oasis Academy - Aspinal","MAT funding"
"Oasis Multi-Academy Trust","Oasis Academy - Bank Leaze","Postcode Local Trust"
"Oasis Multi-Academy Trust","Oasis Academy - Blakenhale Infants and Junior School","Postcode Local Trust"
"Oasis Multi-Academy Trust","Oasis Academy - Boulton","Pending data"
"Oasis Multi-Academy Trust","Oasis Academy - Brightstowe","Pending data"
"Oasis Multi-Academy Trust","Oasis Academy - Brislington","Pending data"
"Oasis Multi-Academy Trust","Oasis Academy - Broadoak","MAT funding"
"Oasis Multi-Academy Trust","Oasis Academy - Byron","OVO Foundation"
"Oasis Multi-Academy Trust","Oasis Academy - Clarksfield","Pending data"
"Oasis Multi-Academy Trust","Oasis Academy - Connaught","Postcode Local Trust"
"Oasis Multi-Academy Trust","Oasis Academy - Coulsdon","OVO Foundation"
"Oasis Multi-Academy Trust","Oasis Academy - Don Valley","Drax"
"Oasis Multi-Academy Trust","Oasis Academy - Enfield","OVO Foundation"
"Oasis Multi-Academy Trust","Oasis Academy - Fir Vale","Drax"
"Oasis Multi-Academy Trust","Oasis Academy - Foundry","Postcode Local Trust"
"Oasis Multi-Academy Trust","Oasis Academy - Hadley","OVO Foundation"
"Oasis Multi-Academy Trust","Oasis Academy - Harpur Mount","Pending data"
"Oasis Multi-Academy Trust","Oasis Academy - Henderson Avenue","Drax"
"Oasis Multi-Academy Trust","Oasis Academy - Hobmoor","Postcode Local Trust"
"Oasis Multi-Academy Trust","Oasis Academy - Immingham","Drax"
"Oasis Multi-Academy Trust","Oasis Academy - Isle of Sheppey, East Campus","MAT funding"
"Oasis Multi-Academy Trust","Oasis Academy - Isle of Sheppey, West Campus","MAT funding"
"Oasis Multi-Academy Trust","Oasis Academy - Johanna","OVO Foundation"
"Oasis Multi-Academy Trust","Oasis Academy - John Williams","Postcode Local Trust"
"Oasis Multi-Academy Trust","Oasis Academy - Leesbrook","MAT funding"
"Oasis Multi-Academy Trust","Oasis Academy - Limeside","MAT funding"
"Oasis Multi-Academy Trust","Oasis Academy - Lister Park","Drax"
"Oasis Multi-Academy Trust","Oasis Academy - Long Cross","Postcode Local Trust"
"Oasis Multi-Academy Trust","Oasis Academy - Longmeadow","Postcode Local Trust"
"Oasis Multi-Academy Trust","Oasis Academy - Lords Hill","MAT funding"
"Oasis Multi-Academy Trust","Oasis Academy - Marksbury Road","Postcode Local Trust"
"Oasis Multi-Academy Trust","Oasis Academy - Mayfield","MAT funding"
"Oasis Multi-Academy Trust","Oasis Academy - Media City UK","MAT funding"
"Oasis Multi-Academy Trust","Oasis Academy - New Oak","Postcode Local Trust"
"Oasis Multi-Academy Trust","Oasis Academy - Nunsthorpe","Drax"
"Oasis Multi-Academy Trust","Oasis Academy - Oldham","MAT funding"
"Oasis Multi-Academy Trust","Oasis Academy - Parkwood","Pending data"
"Oasis Multi-Academy Trust","Oasis Academy - Pinewood","Pending data"
"Oasis Multi-Academy Trust","Oasis Academy - Putney","OVO Foundation"
"Oasis Multi-Academy Trust","Oasis Academy - Ryelands","OVO Foundation"
"Oasis Multi-Academy Trust","Oasis Academy - Shirley Park - Long Lane campus","OVO Foundation"
"Oasis Multi-Academy Trust","Oasis Academy - Shirley Park - Stroud Green campus","OVO Foundation"
"Oasis Multi-Academy Trust","Oasis Academy - Short Heath Primary","Postcode Local Trust"
"Oasis Multi-Academy Trust","Oasis Academy - Silvertown","OVO Foundation"
"Oasis Multi-Academy Trust","Oasis Academy - Skinner Street","Pending data"
"Oasis Multi-Academy Trust","Oasis Academy - South Bank","OVO Foundation"
"Oasis Multi-Academy Trust","Oasis Academy - Temple","Pending data"
"Oasis Multi-Academy Trust","Oasis Academy - Warndon","Postcode Local Trust"
"Oasis Multi-Academy Trust","Oasis Academy - Watermead","Drax"
"Oasis Multi-Academy Trust","Oasis Academy - Wintringham","Drax"
"Oasis Multi-Academy Trust","Oasis Academy - Woodview","Postcode Local Trust"
"Other Independent Schools","Ewell Castle School","School self funding"
"Other Independent Schools","Forest School","School self funding"
"Other Independent Schools","Francis Holland School - Regents Park","School self funding"
"Other Independent Schools","Francis Holland School - Sloane Square","School self funding"
"Other Independent Schools","Sherborne Girls","School self funding"
"Oxfordshire","Caldecott Primary School",
"Oxfordshire","Long Furlong Primary School",
"Oxfordshire","St. Nicolas Primary School",
"Oxfordshire","West Witney Primary School","Waiting list for funding"
"Oxfordshire","Windmill Primary School","School self funding"
"Oxfordshire","Wootton St Peter's Primary School","Waiting list for funding"
"Palladian Academy Trust","Combe Down Primary School",
"Palladian Academy Trust","Oldfield Park Junior School",
"Palladian Academy Trust","Ralph Allen School",
"Palladian Academy Trust","St Martin's Garden Primary School","Postcode Local Trust"
"Palladian Academy Trust","St Philip’s Primary School","OVO Foundation"
"Palladian Academy Trust","Widcombe Infant School","OVO Foundation"
"Palladian Academy Trust","Widcombe Junior School",
"Palladian Academy Trust","Winsley CE Primary School",
"Pathfinder Multi Academy Trust","Acomb Primary School",
"Pathfinder Multi Academy Trust","Archbishop Holgateâ€™s School",
"Pathfinder Multi Academy Trust","Badger Hill Primary School",
"Pathfinder Multi Academy Trust","Clifton with Rawcliffe Primary School",
"Pathfinder Multi Academy Trust","Hempland Primary School",
"Pathfinder Multi Academy Trust","New Earswick Primary School",
"Pathfinder Multi Academy Trust","Tang Hall Primary School",
"Peterborough Diocese Education Trust","Barby C of E Primary School","Laser 50%"
"Peterborough Diocese Education Trust","Blakesley C of E Primary School","Laser 50%"
"Peterborough Diocese Education Trust","Braunston C of E Primary School","Laser 50%"
"Peterborough Diocese Education Trust","Collingtree C of E Primary School","Laser 50%"
"Peterborough Diocese Education Trust","Cottingham C of E Primary School","Laser 50%"
"Peterborough Diocese Education Trust","Cranford C of E Primary School","Laser 50%"
"Peterborough Diocese Education Trust","Freeman's Endowed C of E Junior Academy","Laser 50%"
"Peterborough Diocese Education Trust","Great Addington C of E Primary School","Laser 50%"
"Peterborough Diocese Education Trust","Greens Norton C of E Primary School","Laser 50%"
"Peterborough Diocese Education Trust","Guilsborough C of E Primary School","Laser 50%"
"Peterborough Diocese Education Trust","Isham C of E Primary School","Laser 50%"
"Peterborough Diocese Education Trust","Kislingbury C of E Primary School","Laser 50%"
"Peterborough Diocese Education Trust","Loddington C of E Primary School","Laser 50%"
"Peterborough Diocese Education Trust","Mears Ashby C of E Primary School","Laser 50%"
"Peterborough Diocese Education Trust","Milton Parochial Primary School","Laser 50%"
"Peterborough Diocese Education Trust","Oundle C of E Primary School","Laser 50%"
"Peterborough Diocese Education Trust","Pytchley C of E Primary School","Laser 50%"
"Peterborough Diocese Education Trust","Ringstead C of E Primary School","Laser 50%"
"Peterborough Diocese Education Trust","Ryhall C of E Academy","Laser 50%"
"Peterborough Diocese Education Trust","Silverstone C of E Primary","Laser 50%"
"Peterborough Diocese Education Trust","Spratton C of E Primary School","Laser 50%"
"Peterborough Diocese Education Trust","St Andrew's C of E Primary School & Nursery","Laser 50%"
"Peterborough Diocese Education Trust","Staverton C of E Primary School","Laser 50%"
"Peterborough Diocese Education Trust","St Barnabas C of E School","Laser 50%"
"Peterborough Diocese Education Trust","St James C of E Primary School","Laser 50%"
"Peterborough Diocese Education Trust","St Luke's C of E Primary School","Laser 50%"
"Peterborough Diocese Education Trust","St Mary's C of E Primary School","Laser 50%"
"Peterborough Diocese Education Trust","Sywell C of E Primary School","Laser 50%"
"Peterborough Diocese Education Trust","Towcester C of E Primary School","Laser 50%"
"Peterborough Diocese Education Trust","Trinity C of E Primary School","Laser 50%"
"Peterborough Diocese Education Trust","Weldon C of E Primary School","Laser 50%"
"Peterborough Diocese Education Trust","Welford, Sibbertoft & Sulby Endowed School","Laser 50%"
"Peterborough Diocese Education Trust","William Law C of E Primary School","Laser 50%"
"Pembrokeshire/Sir Penfro","Broad Haven CP School","Egni"
"Pembrokeshire/Sir Penfro","Coastlands CP School","Egni"
"Pembrokeshire/Sir Penfro","Fenton Community Primary School","Egni"
"Pembrokeshire/Sir Penfro","Gelliswick School","Egni"
"Pembrokeshire/Sir Penfro","Golden Grove School","Egni"
"Pembrokeshire/Sir Penfro","Johnston School","Egni"
"Pembrokeshire/Sir Penfro","Lamphey Primary School","Egni"
"Pembrokeshire/Sir Penfro","Mary Immaculate Catholic Primary School","Egni"
"Pembrokeshire/Sir Penfro","Pembroke Dock Community School","Egni"
"Pembrokeshire/Sir Penfro","Pennar Community School","Egni"
"Pembrokeshire/Sir Penfro","Portfield Special School","Egni"
"Pembrokeshire/Sir Penfro","Prendergast Primary School","Egni"
"Pembrokeshire/Sir Penfro","Puncheston Community Primary School","Egni"
"Pembrokeshire/Sir Penfro","Saundersfoot Community Primary School","Egni"
"Pembrokeshire/Sir Penfro","St Aidan's School","Egni"
"Pembrokeshire/Sir Penfro","St Florence VC Church in Wales School","Pending data"
"Pembrokeshire/Sir Penfro","St Francis Catholic Primary School","Egni"
"Pembrokeshire/Sir Penfro","Stepaside Primary School","Egni"
"Pembrokeshire/Sir Penfro","Tenby CIW Primary School","Egni"
"Pembrokeshire/Sir Penfro","Ysgol Bro Ingli","Egni"
"Pembrokeshire/Sir Penfro","Ysgol Brynconin","Pending data"
"Pembrokeshire/Sir Penfro","Ysgol Casblaidd","Pending data"
"Pembrokeshire/Sir Penfro","Ysgol Gymunedol Croesgoch","Egni"
"Pembrokeshire/Sir Penfro","Ysgol Penrhyn Dewi - Campws Aidan","Egni"
"Pembrokeshire/Sir Penfro","Ysgol Penrhyn Dewi - Campws Non","Egni"
"Pembrokeshire/Sir Penfro","Ysgol Penrhyn Dewi VA - Campws Dewi","Egni"
"Pembrokeshire/Sir Penfro","Ysgol Wirfoddol Cilgerran","Egni"
"Pembrokeshire/Sir Penfro","Ysgol y Frenni","Egni"
"Perth and Kinross","Alyth Primary School",
"Perth and Kinross","Crieff High School",
"Perth and Kinross","Crieff Primary School",
"Perth and Kinross","Errol Primary School",
"Perth and Kinross","Fairview School","Centrica"
"Perth and Kinross","Invergowrie Primary School","Centrica"
"Perth and Kinross","Kenmore Primary School",
"Perth and Kinross","Kinross High School",
"Perth and Kinross","Moncreiffe Primary School","Centrica"
"Perth and Kinross","Oakbank Primary School",
"Perth and Kinross","Perth Grammar School",
"Perth and Kinross","Stanley Primary School",
"Peterborough","Leighton Primary School","Drax"
"Prince Albert Community Trust","Birchfield Primary School","Postcode Local Trust"
"Prince Albert Community Trust","Heathfield Primary School","Postcode Local Trust"
"Prince Albert Community Trust","Highfield J&I School","Postcode Local Trust"
"Prince Albert Community Trust","Prince Albert High School","Postcode Local Trust"
"Prince Albert Community Trust","Prince Albert Primary School","Postcode Local Trust"
"Prince Albert Community Trust","Sutton Park Primary School","Postcode Local Trust"
"Reading","Thameside Primary School",
"Red Kite Learning Trust","Austhorpe Primary School","MAT funding"
"Red Kite Learning Trust","Colton Primary School","MAT funding"
"Red Kite Learning Trust","Coppice Valley Primary School","Drax"
"Red Kite Learning Trust","Crawshaw Academy","Drax"
"Red Kite Learning Trust","Harrogate Grammar School","MAT funding"
"Red Kite Learning Trust","Meadowfield Primary School","Drax"
"Red Kite Learning Trust","Oatlands Junior School","MAT funding"
"Red Kite Learning Trust","Rossett Acre Primary School","MAT funding"
"Red Kite Learning Trust","Rossett School","Drax"
"Red Kite Learning Trust","Temple Learning Academy","Drax"
"Red Kite Learning Trust","Temple Moor High School","Drax"
"Red Kite Learning Trust","Templenewsam Halton Primary School","Drax"
"Red Kite Learning Trust","Western Primary School","MAT funding"
"Red Kite Learning Trust","Whitkirk Primary School","Drax"
"River Learning Trust","Barton Park Primary School",
"River Learning Trust","Bayards Hill Primary School",
"River Learning Trust","Beckley Church of England Primary School",
"River Learning Trust","Charlbury Primary School",
"River Learning Trust","Cheney School",
"River Learning Trust","Chipping Norton School",
"River Learning Trust","Cutteslowe Primary School",
"River Learning Trust","Edith Moorhouse Primary School",
"River Learning Trust","Garsington Church of England Primary School",
"River Learning Trust","Gosford Hill School",
"River Learning Trust","Horspath Church of England Primary School",
"River Learning Trust","Kingsdown School",
"River Learning Trust","Larkrise Primary School",
"River Learning Trust","Madley Brook Primary School",
"River Learning Trust","Middle Barton Primary School",
"River Learning Trust","New Marston Primary School and Nursery",
"River Learning Trust","Rose Hill Primary School",
"River Learning Trust","Sandhills Community Primary School",
"River Learning Trust","Seven Fields Primary School",
"River Learning Trust","The Cherwell School",
"River Learning Trust","The Marlborough School",
"River Learning Trust","The Oxford Academy",
"River Learning Trust","The Swan School",
"River Learning Trust","Tower Hill Community Primary School",
"River Learning Trust","Wheatley Park School",
"River Learning Trust","Windrush Church of England Primary School",
"River Learning Trust","Witney Community Primary School",
"River Learning Trust","Wolvercote Primary School",
"Roseland Multi-Academy Trust","Falmouth School","MAT funding"
"Roseland Multi-Academy Trust","The Roseland Academy","MAT funding"
"Roseland Multi-Academy Trust","Treviglas Academy","MAT funding"
"Rotherham","Aughton Early Years Centre","Drax"
"Rotherham","Bramley Sunnyside Junior School","Drax"
"Rotherham","Broom Valley Community School","Drax"
"Rotherham","Newman School - Additional Resource Site","Drax"
"Rotherham","Newman School - Whiston Main Site","Drax"
"Rotherham","St Joseph's Catholic Primary School, Dinnington","Drax"
"SENDAT","Chalk Hill","Drax"
"SENDAT","Duke of Lancaster Academy","Drax"
"SENDAT","Priory School - Mount Road","Drax"
"SENDAT","Sunrise Academy","Drax"
"Sheffield","Abbey Lane Primary School",
"Sheffield","Brunswick Community Primary School","Drax"
"Sheffield","Coit Primary School","Drax"
"Sheffield","Ecclesall Primary School",
"Sheffield","Ecclesfield Primary School","Drax"
"Sheffield","King Edward VII Upper School","Drax"
"Sheffield","Mossbrook School","Drax"
"Sheffield","Mundella Primary School","Drax"
"Sheffield","Porter Croft Church of England Primary Academy","Drax"
"Sheffield","St Thomas of Canterbury School",
"Sheffield","Watercliffe Meadow Community Primary School","Drax"
"Somerset","Frome College","OVO Foundation"
"Somerset","Hugh Sexey C of E Middle School",
"Somerset","Oakfield Academy","OVO Foundation"
"Somerset","St Louis Catholic Primary School",
"Somerset","St Benedict's C of E Junior School","Postcode Local Trust"
"Somerset","Trinity C of E First School","OVO Foundation"
"South West Essex Community Education Trust","Chadwell St Mary Primary School","Drax"
"South West Essex Community Education Trust","Deneholm Primary School","Drax"
"South West Essex Community Education Trust","Marshalls Park Academy","OVO Foundation"
"South West Essex Community Education Trust","Orsett Heath Academy","Drax"
"South West Essex Community Education Trust","Stifford Clays Primary School","Drax"
"South West Essex Community Education Trust","William Edwards School","Drax"
"Spencer Academies Trust","Arnold Hill Spencer Academy","Pending data"
"Spencer Academies Trust","Ashwood Spencer Academy","Drax"
"Spencer Academies Trust","Brackensdale Spencer Academy","Drax"
"Spencer Academies Trust","Castleward Spencer Academy","Pending data"
"Spencer Academies Trust","Millside Spencer Academy","Pending data"
"Spencer Academies Trust","Chellaston Fields Spencer Academy","Drax"
"Spencer Academies Trust","Chetwynd Spencer Academy","Drax"
"Spencer Academies Trust","Clover Leys Spencer Academy","Pending data"
"Spencer Academies Trust","Derby Moor Spencer Academy","Drax"
"Spencer Academies Trust","Fairfield Spencer Academy","Drax"
"Spencer Academies Trust","Farnborough Spencer Academy","Drax"
"Spencer Academies Trust","George Spencer Academy","MAT funding"
"Spencer Academies Trust","Glenbrook Spencer Academy","Drax"
"Spencer Academies Trust","Heanor Gate Spencer Academy","Drax"
"Spencer Academies Trust","Highfields Spencer Academy","MAT funding"
"Spencer Academies Trust","Hilton Spencer Academy","Drax"
"Spencer Academies Trust","Inkersall Spencer Academy","Drax"
"Spencer Academies Trust","John Port Spencer Academy","MAT funding"
"Spencer Academies Trust","Long Field Spencer Academy","MAT funding"
"Spencer Academies Trust","Portland Spencer Academy","Drax"
"Spencer Academies Trust","Rosecliffe Spencer Academy","MAT funding"
"Spencer Academies Trust","Rushcliffe Spencer Academy","Drax"
"Spencer Academies Trust","St Giles Spencer Academy","Drax"
"Spencer Academies Trust","Sunnyside Spencer Academy","Drax"
"Spencer Academies Trust","The Mease Spencer Academy","MAT funding"
"Spencer Academies Trust","Wyndham Spencer Academy","Drax"
"St Ralph Sherwin CMAT","All Saints Catholic Voluntary Academy",
"St Ralph Sherwin CMAT","Blessed Robert Sutton Catholic Voluntary Academy",
"St Ralph Sherwin CMAT","Christ the King Catholic Voluntary Academy",
"St Ralph Sherwin CMAT","English Martyrs' Catholic Voluntary Academy","Drax"
"St Ralph Sherwin CMAT","Saint John Houghton Catholic Voluntary Academy",
"St Ralph Sherwin CMAT","St Alban's Catholic Primary School",
"St Ralph Sherwin CMAT","St Anne's Catholic Voluntary Academy",
"St Ralph Sherwin CMAT","St Charles Catholic Voluntary Academy",
"St Ralph Sherwin CMAT","St Edward's Catholic Voluntary Academy",
"St Ralph Sherwin CMAT","St Elizabeth's Catholic Voluntary Academy",
"St Ralph Sherwin CMAT","St George's Catholic Voluntary Academy",
"St Ralph Sherwin CMAT","St John Fisher Catholic Voluntary Academy",
"St Ralph Sherwin CMAT","St Joseph's Catholic Primary School, Derby",
"St Ralph Sherwin CMAT","St Margaret's Catholic Voluntary Academy",
"St Ralph Sherwin CMAT","St Philip Howard Catholic Voluntary Academy","Drax"
"St Ralph Sherwin CMAT","St Thomas Catholic Voluntary Academy","Drax"
"St Ralph Sherwin CMAT","St Thomas More Catholic Voluntary Academy",
"St Ralph Sherwin CMAT","St. Mary's Catholic Primary School, Glossop",
"St Thomas Aquinas CMAT","Bishop Ellis Catholic Voluntary Academy","Elbow Beach"
"St Thomas Aquinas CMAT","Christ the King Catholic Primary School (Infant site)","Elbow Beach"
"St Thomas Aquinas CMAT","Christ the King Catholic Voluntary Academy (Junior Site)","Elbow Beach"
"St Thomas Aquinas CMAT","De Lisle College","Elbow Beach"
"St Thomas Aquinas CMAT","English Martyrs' Catholic School (Leicester)","Elbow Beach"
"St Thomas Aquinas CMAT","English Martyrs Catholic Voluntary Academy (Oakham)","Elbow Beach"
"St Thomas Aquinas CMAT","Holy Cross Catholic Primary School (Leicester)","Elbow Beach"
"St Thomas Aquinas CMAT","Sacred Heart Catholic Voluntary Academy (Loughborough)","Pending data"
"St Thomas Aquinas CMAT","Saint Martin's Catholic Academy","Elbow Beach"
"St Thomas Aquinas CMAT","St Charles Primary School","Elbow Beach"
"St Thomas Aquinas CMAT","St. Joseph's Catholic Voluntary Academy (Market Harborough)","Elbow Beach"
"St Thomas Aquinas CMAT","St. Patrick's Catholic Voluntary Academy","Pending data"
"St Thomas Aquinas CMAT","St Paul's Catholic School","Elbow Beach"
"St Thomas Aquinas CMAT","St Peter’s Catholic Primary School (Hinckley)","Elbow Beach"
"St Thomas Aquinas CMAT","St Winefride’s Catholic Voluntary Academy","Elbow Beach"
"Stour Vale Multi-Academy Trust","Earls High School","Postcode Local Trust"
"Stour Vale Multi-Academy Trust","Northfield Road Primary","Postcode Local Trust"
"Stour Vale Multi-Academy Trust","Redhill High School",
"Stour Vale Multi-Academy Trust","Ridgewood High School",
"Suffolk","St Mary's Church of England Academy","Drax"
"Sutton","Robin Hood Junior School","OVO Foundation"
"Swansea/Abertawe","Birchgrove Comprehensive School","School self funding"
"Swansea/Abertawe","Birchgrove Primary School","Swansea Council"
"Swansea/Abertawe","Bishop Gore School","Swansea Council"
"Swansea/Abertawe","Bishop Vaughan Catholic School",
"Swansea/Abertawe","Bishopston Comprehensive School",
"Swansea/Abertawe","Bishopston Comprehensive School Sports Hall",
"Swansea/Abertawe","Bishopston Primary School","Swansea Council"
"Swansea/Abertawe","Blaenymaes Primary School",
"Swansea/Abertawe","Brynhyfryd Primary School","Swansea Council"
"Swansea/Abertawe","Brynmill Primary School",
"Swansea/Abertawe","Burlais Primary School","Swansea Council"
"Swansea/Abertawe","Cadle Primary School","Swansea Council"
"Swansea/Abertawe","Casllwchwr Primary School",
"Swansea/Abertawe","Cefn Hengoed Community School",
"Swansea/Abertawe","Christchurch Primary School","Swansea Council"
"Swansea/Abertawe","Cila Primary School","Swansea Council"
"Swansea/Abertawe","Clase Primary School","Swansea Council"
"Swansea/Abertawe","Clwyd Community Primary",
"Swansea/Abertawe","Clydach Primary School","Swansea Council"
"Swansea/Abertawe","Craigfelen Primary School","Swansea Council"
"Swansea/Abertawe","Crwys Primary School",
"Swansea/Abertawe","Cwm Glas Primary","Swansea Council"
"Swansea/Abertawe","Cwmrhydyceirw Primary School","Swansea Council"
"Swansea/Abertawe","Danygraig Primary School","Swansea Council"
"Swansea/Abertawe","Dunvant Primary School",
"Swansea/Abertawe","Dylan Thomas Community School","Swansea Council"
"Swansea/Abertawe","Gendros Primary School",
"Swansea/Abertawe","Glais Primary School",
"Swansea/Abertawe","Glyncollen Primary School",
"Swansea/Abertawe","Gors Community Primary School","Swansea Council"
"Swansea/Abertawe","Gorseinon Primary School","Swansea Council"
"Swansea/Abertawe","Gowerton Primary School","Swansea Council"
"Swansea/Abertawe","Gowerton Secondary School",
"Swansea/Abertawe","Gwyrosydd Primary School","Swansea Council"
"Swansea/Abertawe","Hafod Primary School",
"Swansea/Abertawe","Hendrefoilan Primary school",
"Swansea/Abertawe","Knelston Primary School","Swansea Council"
"Swansea/Abertawe","Llangyfelach Primary School","Swansea Council"
"Swansea/Abertawe","Llanrhidian Primary School","Swansea Council"
"Swansea/Abertawe","Maes Derw","Swansea Council"
"Swansea/Abertawe","Mayals Primary School","Swansea Council"
"Swansea/Abertawe","Morriston Comprehensive School",
"Swansea/Abertawe","Morriston Primary School","Swansea Council"
"Swansea/Abertawe","Newton Primary School","Swansea Council"
"Swansea/Abertawe","Olchfa School",
"Swansea/Abertawe","Oystermouth Primary School","Swansea Council"
"Swansea/Abertawe","Parkland Primary School","Swansea Council"
"Swansea/Abertawe","Pen y fro Primary School","Swansea Council"
"Swansea/Abertawe","Penclawdd Primary School",
"Swansea/Abertawe","Pengelli Primary School",
"Swansea/Abertawe","Penllergaer Primary School",
"Swansea/Abertawe","Pennard Primary School",
"Swansea/Abertawe","Pentre'r Graig Primary School","Swansea Council"
"Swansea/Abertawe","Pentrechwyth Primary School",
"Swansea/Abertawe","Pentrehafod Comprehensive",
"Swansea/Abertawe","Penyrheol Comprehensive","Self funding and Egni Co-op (50:50)"
"Swansea/Abertawe","Penyrheol Primary School","Swansea Council"
"Swansea/Abertawe","Plasmarl Primary School",
"Swansea/Abertawe","Pontarddulais Comprehensive School",
"Swansea/Abertawe","Pontarddulais Primary School","School self funding"
"Swansea/Abertawe","Pontlliw Primary School","Swansea Council"
"Swansea/Abertawe","Portmead Primary School",
"Swansea/Abertawe","Sea View Community Primary School",
"Swansea/Abertawe","Sketty Primary School","Swansea Council"
"Swansea/Abertawe","St David's Catholic Primary School and Grange Primary School","Swansea Council"
"Swansea/Abertawe","St Helen's Primary School","Swansea Council"
"Swansea/Abertawe","St Illtyd's Primary School","Swansea Council"
"Swansea/Abertawe","St Joseph's Cathedral School",
"Swansea/Abertawe","St Joseph's Catholic Primary School, Swansea","Swansea Council"
"Swansea/Abertawe","St Thomas Community Primary School",
"Swansea/Abertawe","Talycopa Primary School","Swansea Council"
"Swansea/Abertawe","Terrace Road Primary School",
